slugs to process: 92
OK ad pages=10 linkswap=20
OK agri-chem pages=10 linkswap=20
OK agri-mach pages=10 linkswap=20
OK airport-aviation pages=10 linkswap=20
OK animal-health pages=10 linkswap=20
OK auto-electronics pages=10 linkswap=15
OK auto-parts pages=10 linkswap=20
OK beer pages=10 linkswap=20
OK beverage pages=10 linkswap=20
OK cement pages=10 linkswap=20
OK cement-products pages=10 linkswap=20
OK chemical-fiber pages=10 linkswap=20
OK chemical-pharma pages=10 linkswap=20
OK cloud-idc pages=10 linkswap=19
OK coating-explosive pages=10 linkswap=20
OK com-equip pages=10 linkswap=20
OK condiment pages=10 linkswap=20
OK construction pages=10 linkswap=20
OK construction-mach pages=10 linkswap=16
OK copper-alu pages=10 linkswap=20
OK custom-home pages=10 linkswap=20
OK cxo pages=10 linkswap=18
OK dairy pages=10 linkswap=20
OK data-security pages=10 linkswap=20
OK decoration pages=10 linkswap=20
OK elevator pages=10 linkswap=20
OK environment pages=10 linkswap=20
OK express pages=10 linkswap=18
OK feed pages=10 linkswap=16
OK fiberglass pages=10 linkswap=20
OK film pages=10 linkswap=20
OK finance-lease pages=10 linkswap=17
OK fluorosilicone pages=10 linkswap=20
OK food-process pages=10 linkswap=20
OK futures-exchange pages=10 linkswap=18
OK game pages=10 linkswap=20
OK gas pages=10 linkswap=20
OK general-mach pages=10 linkswap=20
OK glass pages=10 linkswap=18
OK gold-jewelry pages=10 linkswap=20
OK gold-mine pages=10 linkswap=20
OK grid pages=10 linkswap=20
OK health-product pages=10 linkswap=20
OK highway pages=10 linkswap=20
OK hog pages=10 linkswap=20
OK home-supplies pages=10 linkswap=18
OK industrial-control pages=10 linkswap=19
OK industrial-inet pages=10 linkswap=18
OK insurance pages=10 linkswap=20
OK iot pages=10 linkswap=20
OK kitchen-elec pages=10 linkswap=20
OK landscape pages=10 linkswap=20
OK laser-equip pages=10 linkswap=19
OK lighting pages=10 linkswap=20
OK lithium-battery pages=10 linkswap=19
OK machine-tool pages=10 linkswap=20
OK medical-device pages=10 linkswap=20
OK nuclear pages=10 linkswap=20
OK oil-service pages=10 linkswap=20
OK optical-module pages=10 linkswap=19
OK optics pages=10 linkswap=19
OK packaging pages=10 linkswap=19
OK paper pages=10 linkswap=20
OK passive pages=10 linkswap=17
OK pharma-retail pages=10 linkswap=20
OK photovoltaic pages=10 linkswap=18
OK port pages=10 linkswap=20
OK poultry pages=10 linkswap=17
OK property pages=9 linkswap=18
OK publish pages=10 linkswap=20
OK rail pages=10 linkswap=20
OK rail-equip pages=10 linkswap=18
OK retail pages=10 linkswap=20
SKIP securities parse-empty
OK security pages=9 linkswap=18
OK seed pages=10 linkswap=20
OK semiconductor-chem pages=10 linkswap=14
OK sensor pages=10 linkswap=17
OK shipping pages=9 linkswap=18
OK snack pages=9 linkswap=18
OK software pages=10 linkswap=20
OK specialty-care pages=10 linkswap=20
OK sports pages=10 linkswap=20
OK storage pages=10 linkswap=16
OK telecom pages=10 linkswap=20
OK textile-apparel pages=10 linkswap=20
OK tire pages=10 linkswap=20
OK trust-multi pages=10 linkswap=16
OK vaccine pages=10 linkswap=20
OK vehicle pages=10 linkswap=20
OK water pages=10 linkswap=20
OK wind pages=10 linkswap=20

DONE: upgraded=91 skipped=1 errors=0
skipped: [('securities', 'parse-empty')]
