Date,gold,copper,silver,oil,gold_copper,gold_silver,oil_gold
2000-08-01,278.3,0.885,5.003,33.1,314.4633,55.6266,0.1189
2000-09-01,273.6,0.9155,4.899,30.86,298.8531,55.8481,0.1128
2000-11-01,270.1,0.841,4.674,33.8,321.1653,57.7878,0.1251
2000-12-01,272.0,0.8465,4.585,26.8,321.3231,59.3239,0.0985
2001-01-01,265.6,0.8485,4.791,28.7,313.023,55.4373,0.1081
2001-02-01,266.8,0.81,4.472,27.42,329.3827,59.6601,0.1028
2001-03-01,257.9,0.7585,4.278,26.4,340.0132,60.2852,0.1024
2001-05-01,265.3,0.752,4.396,28.37,352.7925,60.3503,0.1069
2001-06-01,270.6,0.7045,4.292,26.25,384.1022,63.0475,0.097
2001-08-01,274.4,0.6785,4.162,27.2,404.4215,65.9298,0.0991
2001-09-01,292.4,0.646,4.647,23.43,452.6316,62.9223,0.0801
2001-10-01,279.5,0.622,4.214,21.18,449.3569,66.3265,0.0758
2001-11-01,273.9,0.722,4.128,19.44,379.3629,66.3517,0.071
2001-12-01,278.7,0.653,4.579,19.84,426.7994,60.8648,0.0712
2002-01-01,282.1,0.7305,4.216,19.48,386.1739,66.9118,0.0691
2002-02-01,296.7,0.714,4.497,21.85,415.5462,65.9773,0.0736
2002-03-01,302.6,0.7605,4.641,26.23,397.8961,65.2015,0.0867
2002-04-01,308.9,0.7325,4.532,27.29,421.7065,68.1598,0.0883
2002-05-01,326.5,0.7615,5.026,25.35,428.759,64.9622,0.0776
2002-06-01,313.5,0.7675,4.833,26.86,408.4691,64.8665,0.0857
2002-07-01,303.2,0.6775,4.595,27.02,447.5277,65.9848,0.0891
2002-08-01,312.4,0.687,4.437,28.98,454.7307,70.4079,0.0928
2002-10-01,318.0,0.714,4.499,27.22,445.3782,70.6824,0.0856
2002-11-01,316.8,0.7495,4.414,26.89,422.6818,71.7716,0.0849
2003-01-01,368.3,0.7915,4.853,33.51,465.319,75.8912,0.091
2003-02-01,350.2,0.775,4.585,36.6,451.871,76.3795,0.1045
2003-03-01,335.9,0.7125,4.461,31.04,471.4386,75.297,0.0924
2003-04-01,339.1,0.725,4.638,25.8,467.7241,73.1134,0.0761
2003-05-01,364.5,0.78,4.526,29.56,467.3077,80.5347,0.0811
2003-07-01,354.0,0.818,5.116,30.54,432.7628,69.1947,0.0863
2003-08-01,375.7,0.803,5.109,31.57,467.8705,73.5369,0.084
2003-09-01,385.4,0.813,5.137,29.2,474.0467,75.0243,0.0758
2003-10-01,384.5,0.937,5.059,29.11,410.3522,76.0032,0.0757
2003-11-01,396.8,0.907,5.355,30.41,437.4862,74.099,0.0766
2003-12-01,415.7,1.043,5.953,32.52,398.5619,69.8303,0.0782
2004-01-01,402.2,1.143,6.246,33.05,351.881,64.3932,0.0822
2004-03-01,427.3,1.3585,7.936,35.76,314.5381,53.8432,0.0837
2004-04-01,387.0,1.2095,6.078,37.38,319.9669,63.6723,0.0966
2004-05-01,394.0,1.278,6.105,39.88,308.2942,64.5373,0.1012
2004-06-01,392.6,1.205,5.776,37.05,325.8091,67.9709,0.0944
2004-07-01,391.0,1.308,6.55,43.8,298.9297,59.6947,0.112
2004-09-01,418.7,1.4,6.916,49.64,299.0714,60.5408,0.1186
2004-10-01,428.5,1.3475,7.292,51.76,317.9963,58.763,0.1208
2004-11-01,451.3,1.443,7.723,49.13,312.7512,58.4358,0.1089
2004-12-01,437.5,1.487,6.807,43.45,294.2165,64.2721,0.0993
2005-01-01,421.8,1.463,6.737,48.2,288.3117,62.6095,0.1143
2005-02-01,436.5,1.5,7.359,51.75,291.0,59.3151,0.1186
2005-03-01,428.7,1.509,7.191,55.4,284.0954,59.6162,0.1292
2005-04-01,435.0,1.498,6.902,49.72,290.3872,63.0252,0.1143
2005-06-01,435.9,1.5535,7.028,56.5,280.5922,62.0233,0.1296
2005-07-01,429.9,1.6875,7.238,60.57,254.7556,59.3949,0.1409
2005-08-01,433.8,1.695,6.781,68.94,255.9292,63.9729,0.1589
2005-09-01,469.0,1.8015,7.458,66.24,260.3386,62.8855,0.1412
2005-10-01,465.1,1.896,7.55,59.76,245.3059,61.6026,0.1285
2005-11-01,494.6,2.075,8.28,57.32,238.3614,59.7343,0.1159
2005-12-01,517.1,2.1615,8.82,61.04,239.232,58.6281,0.118
2006-02-01,561.6,2.1855,9.72,61.41,256.9664,57.7778,0.1093
2006-03-01,581.8,2.488,11.48,66.63,233.8424,50.6794,0.1145
2006-04-01,651.8,3.3355,13.51,71.88,195.413,48.2457,0.1103
2006-05-01,642.5,3.7165,12.398,71.29,172.8777,51.8229,0.111
2006-06-01,613.5,3.4625,10.91,73.98,177.1841,56.2328,0.1206
2006-07-01,634.2,3.61,11.325,74.4,175.6787,56.0,0.1173
2006-08-01,625.9,3.469,12.9,70.26,180.4266,48.5194,0.1123
2006-09-01,598.6,3.459,11.45,62.91,173.0558,52.2795,0.1051
2006-11-01,646.9,3.1715,13.925,63.13,203.9729,46.456,0.0976
2006-12-01,635.2,2.854,12.818,61.05,222.5648,49.5553,0.0961
2007-01-01,652.0,2.5835,13.514,58.14,252.3708,48.2463,0.0892
2007-02-01,669.4,2.733,14.1,61.79,244.9323,47.4752,0.0923
2007-03-01,663.0,3.1435,13.39,65.87,210.9114,49.5146,0.0994
2007-05-01,661.0,3.3935,13.409,64.01,194.7841,49.2952,0.0968
2007-06-01,648.1,3.4535,12.353,70.68,187.6647,52.465,0.1091
2007-08-01,673.0,3.411,12.063,74.04,197.3028,55.7904,0.11
2007-09-01,742.8,3.6305,13.794,81.66,204.5999,53.8495,0.1099
2007-10-01,792.0,3.468,14.377,94.53,228.3737,55.088,0.1194
2007-11-01,782.2,3.157,13.963,88.71,247.7669,56.0195,0.1134
2007-12-01,834.9,3.0305,14.797,95.98,275.4991,56.4236,0.115
