债券代码,债券简称,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,发行规模,信用评级,上市时间,双低
113658,密卫转债,603713,密尔克卫,60.8,54.72,111.1111,111.192,0.07,8.72388,AA-,2022-10-25,111.26199999999999
110081,闻泰转债,600745,*ST闻泰,17.11,18.36,93.1917,103.681,11.26,86.0,BBB+,2021-08-20,114.941
127061,美锦转债,000723,美锦能源,3.65,3.47,105.1873,110.54,5.09,35.9,A,2022-05-30,115.63000000000001
128134,鸿路转债,002541,鸿路钢构,19.2,17.49,109.777,115.88,5.56,18.8,AA,2020-11-02,121.44
118053,正帆转债,688596,正帆科技,47.85,38.57,124.0602,122.675,-1.12,10.41095,AA,2025-04-03,121.55499999999999
113605,大参转债,603233,大参林,18.59,16.86,110.261,116.61,5.76,14.05,AA,2020-11-13,122.37
113042,上银转债,601229,上海银行,9.42,8.35,112.8144,118.94,5.43,200.0,AAA,2021-02-10,124.37
128128,齐翔转2,002408,齐翔腾达,5.1,5.37,94.9721,110.099,15.93,29.9,AA,2020-09-15,126.029
128127,文科转债,002775,文科股份,3.85,3.92,98.2143,114.72,16.81,9.5,BBB+,2020-09-11,131.53
110075,南航转债,600029,南方航空,5.18,6.17,83.9546,106.829,27.25,160.0,AAA,2020-11-03,134.079
110076,华海转债,600521,华海药业,17.04,16.5,103.2727,119.283,15.5,18.426,AA,2020-11-25,134.78300000000002
113056,重银转债,601963,重庆银行,11.14,9.22,120.8243,128.501,6.35,130.0,AAA,2022-04-14,134.851
113062,常银转债,601128,常熟银行,6.29,5.25,119.8095,130.021,8.52,60.0,AAA,2022-10-17,138.541
127027,能化转债,000552,甘肃能化,2.57,2.93,87.7133,112.289,28.02,28.0,AAA,2021-01-22,140.309
128142,新乳转债,002946,新乳业,17.26,17.5,98.6286,119.8,21.47,7.18,AA,2021-01-19,141.26999999999998
128129,青农转债,002958,青农商行,3.13,3.88,80.6701,107.895,33.75,50.0,AAA,2020-09-18,141.64499999999998
123064,万孚转债,300482,万孚生物,17.41,20.88,83.3812,109.94,31.85,6.0,AA,2020-09-23,141.79
113052,兴业转债,601166,兴业银行,18.56,20.13,92.2007,117.98,27.96,500.0,AAA,2022-01-14,145.94
123107,温氏转债,300498,温氏股份,13.48,16.09,83.7787,113.031,34.92,92.97,AAA,2021-04-21,147.95100000000002
127030,盛虹转债,000301,东方盛虹,12.28,13.21,92.9599,119.997,29.08,50.0,AA+,2021-04-21,149.077
123092,天壕转债,300332,天壕能源,4.8,4.97,96.5795,122.55,26.89,4.23,A+,2021-01-15,149.44
127040,国泰转债,002091,江苏国泰,7.83,7.35,106.5306,129.0,21.09,45.574186,AA+,2021-08-10,150.09
113681,镇洋转债,603213,镇洋发展,13.89,10.95,126.8493,139.864,10.26,6.6,AA-,2024-01-17,150.124
113043,财通转债,601108,财通证券,8.52,7.98,106.7669,130.0,21.76,38.0,AAA,2020-12-28,151.76
128136,立讯转债,002475,立讯精密,55.48,55.67,99.6587,126.14,26.57,30.0,AA+,2020-12-02,152.71
127067,恒逸转2,000703,恒逸石化,15.77,10.32,152.8101,153.959,0.75,30.0,AA+,2022-08-18,154.709
113051,节能转债,601016,节能风电,3.67,3.33,110.2102,133.928,21.52,30.0,AAA,2021-07-22,155.448
113058,友发转债,601686,友发集团,5.26,4.48,117.4107,139.408,18.74,20.0,AA,2022-04-26,158.148
127056,中特转债,000708,中信特钢,14.33,13.89,103.1677,131.562,27.52,50.0,AAA,2022-04-15,159.08200000000002
113631,皖天转债,603689,皖天然气,7.5,6.51,115.2074,138.957,20.61,9.3,AA+,2021-12-10,159.567
123112,万讯转债,300112,万讯自控,8.35,6.43,129.86,148.273,14.18,2.457212,AA-,2021-04-23,162.453
127110,广核转债,003816,中国广核,4.07,3.58,113.6872,139.713,22.89,49.0,AAA,2025-07-25,162.603
127045,牧原转债,002714,牧原股份,38.02,43.32,87.7655,122.905,40.04,95.5,AAA,2021-09-10,162.945
113610,灵康转债,603669,灵康药业,5.64,6.5,86.7692,123.012,41.77,5.25,A-,2020-12-22,164.782
113039,嘉泽转债,601619,嘉泽新能,4.73,2.89,163.6678,164.987,0.81,13.0,AA,2020-09-17,165.797
113697,应流转债,603308,应流股份,45.47,30.31,150.0165,159.564,6.36,15.0,AA+sti,2025-10-22,165.924
113046,金田转债,601609,金田股份,10.19,10.18,100.0982,133.428,33.3,15.0,AA+,2021-04-12,166.728
123104,卫宁转债,300253,卫宁健康,7.74,7.02,110.2564,140.0,26.98,9.70265,AA,2021-03-31,166.98
123149,通裕转债,300185,通裕重工,2.88,2.71,106.2731,137.7,29.57,14.8472,AA,2022-07-15,167.26999999999998
123088,威唐转债,300707,威唐工业,11.93,14.97,79.6927,118.648,48.88,3.0138,A+,2021-01-06,167.528
127089,晶澳转债,002459,晶澳科技,7.79,8.9,87.5281,125.118,42.95,89.603077,AA+sti,2023-08-04,168.06799999999998
127084,柳工转2,000528,柳工,8.5,6.98,121.7765,147.83,21.39,30.0,AAA,2023-04-20,169.22000000000003
118031,天23转债,688599,天合光能,14.29,16.0,89.3125,127.457,42.71,88.64751,AA,2023-03-15,170.167
123071,天能转债,300569,天能重工,4.95,6.68,74.1018,115.452,55.8,7.0,AA-,2020-11-25,171.252
111017,蓝天转债,605368,蓝天燃气,6.78,6.72,100.8929,136.272,35.07,8.7,AA,2023-09-08,171.34199999999998
113048,晶科转债,601778,晶科科技,3.86,4.47,86.3535,126.02,45.94,30.0,AA,2021-05-31,171.95999999999998
111002,特纸转债,605007,五洲特纸,15.71,13.49,116.4566,146.79,26.05,6.7,AA,2021-12-30,172.84
127034,绿茵转债,002887,绿茵生态,9.84,11.21,87.7788,127.579,45.34,7.12,AA-,2021-05-28,172.91899999999998
127047,帝欧转债,002798,帝欧水华,5.41,5.1,106.0784,140.5,32.45,15.0,BBB+,2021-11-26,172.95
123150,九强转债,300406,九强生物,11.74,11.6,101.2069,137.542,35.9,11.39,AA-,2022-07-20,173.442
128138,侨银转债,002973,侨银股份,9.57,10.6,90.283,130.121,44.13,4.2,A+,2020-12-24,174.251
113070,渝水转债,601158,重庆水务,4.2,4.72,88.9831,129.553,45.59,19.0,AAA,2025-02-13,175.143
123114,三角转债,300775,三角防务,21.73,22.69,95.7691,134.68,40.63,9.043727,AA-,2021-06-11,175.31
110098,南药转债,600713,南京医药,5.11,4.95,103.2323,140.015,35.63,10.81491,AA+,2025-01-20,175.64499999999998
123173,恒锋转债,300605,恒锋信息,11.21,10.0,112.1,146.449,30.64,2.424357,BBB+sti,2023-02-08,177.089
113067,燃23转债,601139,深圳燃气,6.49,7.24,89.6409,131.042,46.19,30.0,AAA,2023-08-18,177.232
127050,麒麟转债,002984,森麒麟,14.67,15.07,97.3457,136.929,40.66,21.989391,AA,2021-12-06,177.589
127046,百润转债,002568,百润股份,19.61,20.33,96.4584,136.308,41.31,11.28,AA,2021-11-03,177.618
110099,福能转债,600483,福能股份,10.86,9.49,114.4362,148.41,29.69,38.02,AA+,2025-10-30,178.1
111000,起帆转债,605222,起帆电缆,19.32,17.29,111.7409,146.808,31.38,10.0,AA-,2021-06-17,178.188
113661,福22转债,603806,福斯特,15.24,14.59,104.4551,142.53,36.45,30.3,AA,2022-12-22,178.98000000000002
123091,长海转债,300196,长海股份,16.43,14.99,109.6064,146.199,33.39,5.5,AA,2021-01-15,179.589
127031,洋丰转债,000902,新洋丰,13.59,16.89,80.4618,124.772,55.07,10.0,AA,2021-04-23,179.842
113054,绿动转债,601330,绿色动力,7.29,8.67,84.083,128.325,52.62,23.6,AA+,2022-03-23,180.945
113691,和邦转债,603077,和邦生物,2.39,2.0,119.5,153.615,28.55,46.0,AA,2024-11-19,182.16500000000002
113640,苏利转债,603585,苏利股份,9.99,10.84,92.1587,135.399,46.92,9.57211,AA-,2022-03-10,182.31900000000002
123171,共同转债,300966,共同药业,24.92,27.08,92.0236,135.313,47.04,3.8,A-,2022-12-16,182.35299999999998
127060,湘佳转债,002982,湘佳股份,11.75,13.8,85.1449,129.9,52.56,6.4,A+,2022-06-10,182.46
123157,科蓝转债,300663,科蓝软件,10.55,8.8,119.8864,154.11,28.55,4.946,A-sti,2022-09-20,182.66000000000003
110087,天业转债,600075,新疆天业,4.62,5.6,82.5,127.84,54.96,30.0,AA+,2022-07-19,182.8
123119,康泰转2,300601,康泰生物,12.46,15.69,79.4136,125.2,57.66,20.0,AA,2021-08-05,182.86
123080,海波转债,300517,海波重科,9.43,11.28,83.5993,128.8,54.07,2.45,A+,2020-12-22,182.87
127082,亚科转债,002540,亚太科技,5.22,5.22,100.0,141.5,41.5,11.59,AA,2023-04-27,183.0
123172,漱玉转债,301017,漱玉平民,13.85,14.91,92.8907,136.35,46.79,8.0,AA-,2023-01-06,183.14
110093,神马转债,600810,神马股份,6.37,8.08,78.8366,124.837,58.35,30.0,AAA,2023-04-20,183.187
110084,贵燃转债,600903,贵州燃气,6.41,7.1,90.2817,134.813,49.32,10.0,AA,2022-01-18,184.13299999999998
127078,优彩转债,002998,优彩资源,7.32,6.11,119.8036,154.998,29.38,6.0,A+,2023-01-09,184.378
118034,晶能转债,688223,晶科能源,4.55,6.35,71.6535,118.954,66.01,100.0,AA+sti,2023-05-19,184.964
123189,晓鸣转债,300967,晓鸣股份,14.93,15.18,98.3531,141.381,43.75,3.29,A,2023-04-25,185.131
127108,太能转债,000591,太阳能,4.56,5.54,82.3105,128.845,56.54,29.5,AA+,2025-04-16,185.385
