代码,名称,录入期,录入价,录入日,最新期,最新价,状态,剔除期,剔除价,价差%
113658,密卫转债,2026年8月期,111.19,2026-08-04,2026年8月期,111.19,持有中,,,
110081,闻泰转债,2026年8月期,103.68,2026-08-04,2026年8月期,103.68,持有中,,,
127061,美锦转债,2026年8月期,110.54,2026-08-04,2026年8月期,110.54,持有中,,,
128134,鸿路转债,2026年8月期,115.88,2026-08-04,2026年8月期,115.88,持有中,,,
118053,正帆转债,2026年8月期,122.67,2026-08-04,2026年8月期,122.67,持有中,,,
113605,大参转债,2026年8月期,116.61,2026-08-04,2026年8月期,116.61,持有中,,,
113042,上银转债,2026年8月期,118.94,2026-08-04,2026年8月期,118.94,持有中,,,
128128,齐翔转2,2026年8月期,110.1,2026-08-04,2026年8月期,110.1,持有中,,,
128127,文科转债,2026年8月期,114.72,2026-08-04,2026年8月期,114.72,持有中,,,
110075,南航转债,2026年8月期,106.83,2026-08-04,2026年8月期,106.83,持有中,,,
110076,华海转债,2026年8月期,119.28,2026-08-04,2026年8月期,119.28,持有中,,,
113056,重银转债,2026年8月期,128.5,2026-08-04,2026年8月期,128.5,持有中,,,
113062,常银转债,2026年8月期,130.02,2026-08-04,2026年8月期,130.02,持有中,,,
127027,能化转债,2026年8月期,112.29,2026-08-04,2026年8月期,112.29,持有中,,,
128142,新乳转债,2026年8月期,119.8,2026-08-04,2026年8月期,119.8,持有中,,,
128129,青农转债,2026年8月期,107.89,2026-08-04,2026年8月期,107.89,持有中,,,
123064,万孚转债,2026年8月期,109.94,2026-08-04,2026年8月期,109.94,持有中,,,
113052,兴业转债,2026年8月期,117.98,2026-08-04,2026年8月期,117.98,持有中,,,
123107,温氏转债,2026年8月期,113.03,2026-08-04,2026年8月期,113.03,持有中,,,
127030,盛虹转债,2026年8月期,120.0,2026-08-04,2026年8月期,120.0,持有中,,,
