序号,星标,关注理由,代码,名称,类型,交易所,最新价,涨跌幅,涨跌额,成交额,换手率,最新份额,流通市值,总市值,基金折价率,IOPV实时估值
263,★,折价机会,159316,港股通创新药ETF易方达,ETF,深交所,1.177,-1.75,-0.021,881415144.418,13.24,5670336256.0,6673985773.0,6673985773.0,0.39,1.1816
270,★,核心资产,159326,电网设备ETF华夏,ETF,深交所,1.687,0.9,0.015,519940658.873,2.47,12529265408.0,21136870743.0,21136870743.0,0.06,1.688
281,★,核心资产,159338,中证A500ETF国泰,ETF,深交所,1.224,0.58,0.007,3736112085.5,14.21,21527086592.0,26349153989.0,26349153989.0,0.02,1.2243
285,★,核心资产,159352,A500ETF南方,ETF,深交所,1.273,0.55,0.007,3554682540.054,10.21,27390101760.0,34867599540.0,34867599540.0,0.06,1.2738
293,★,核心资产,159361,A500ETF易方达,ETF,深交所,1.248,0.65,0.008,1490508672.58,5.21,22961090304.0,28655440699.0,28655440699.0,0.11,1.2494
337,★,核心资产,159516,半导体设备ETF国泰,ETF,深交所,0.729,-0.55,-0.004,3072436079.235,7.12,59000359936.0,43011262393.0,43011262393.0,-0.01,0.7289
373,★,核心资产,159558,半导体设备ETF易方达,ETF,深交所,1.145,-0.43,-0.005,1421140785.88,6.71,18461563904.0,21138490670.0,21138490670.0,-0.13,1.1435
381,★,折价机会,159567,港股创新药ETF银华,ETF,深交所,0.716,-1.92,-0.014,1040341761.4,13.42,10844729856.0,7764826577.0,7764826577.0,0.38,0.7187
384,★,核心+折价,159570,港股通创新药ETF汇添富,ETF,深交所,1.48,-1.92,-0.029,2186006153.584,8.6,17195597056.0,25449483643.0,25449483643.0,0.42,1.4863
550,★,核心+折价,159792,港股通互联网ETF富国,ETF,深交所,0.591,-1.01,-0.006,1690899156.65,4.16,69019856896.0,40790735426.0,40790735426.0,0.45,0.5937
568,★,核心资产,159819,人工智能ETF易方达,ETF,深交所,1.749,1.1,0.019,442180792.66,2.18,11663229696.0,20398988738.0,20398988738.0,0.15,1.7516
625,★,折价机会,159892,恒生医药ETF华夏,ETF,深交所,0.819,-0.85,-0.007,833260609.5,17.36,5891266048.0,4824946893.0,4824946893.0,0.5,0.8231
641,★,核心资产,159915,创业板ETF易方达,ETF,深交所,3.56,1.37,0.048,5821282043.892,8.9,18410455040.0,65541219942.0,65541219942.0,0.12,3.5642
